pitch1_media,yaw1_media,roll1_media,pitch2_media,yaw2_media,roll2_media,f1_media,f2_media,f3_media,f4_media,f5_media,pitch3_media,pitch1_mediana,yaw1_mediana,roll1_mediana,pitch2_mediana,yaw2_mediana,roll2_mediana,f1_mediana,f2_mediana,f3_mediana,f4_mediana,f5_mediana,pitch3_mediana,pitch1_desviacion,yaw1_desviacion,roll1_desviacion,pitch2_desviacion,yaw2_desviacion,roll2_desviacion,f1_desviacion,f2_desviacion,f3_desviacion,f4_desviacion,f5_desviacion,pitch3_desviacion,pitch1_minimo,yaw1_minimo,roll1_minimo,pitch2_minimo,yaw2_minimo,roll2_minimo,f1_minimo,f2_minimo,f3_minimo,f4_minimo,f5_minimo,pitch3_minimo,pitch1_maximo,yaw1_maximo,roll1_maximo,pitch2_maximo,yaw2_maximo,roll2_maximo,f1_maximo,f2_maximo,f3_maximo,f4_maximo,f5_maximo,pitch3_maximo,pitch1_rango,yaw1_rango,roll1_rango,pitch2_rango,yaw2_rango,roll2_rango,f1_rango,f2_rango,f3_rango,f4_rango,f5_rango,pitch3_rango,pitch1_percentil_25,yaw1_percentil_25,roll1_percentil_25,pitch2_percentil_25,yaw2_percentil_25,roll2_percentil_25,f1_percentil_25,f2_percentil_25,f3_percentil_25,f4_percentil_25,f5_percentil_25,pitch3_percentil_25,pitch1_percentil_75,yaw1_percentil_75,roll1_percentil_75,pitch2_percentil_75,yaw2_percentil_75,roll2_percentil_75,f1_percentil_75,f2_percentil_75,f3_percentil_75,f4_percentil_75,f5_percentil_75,pitch3_percentil_75,pitch1_rango_intercuartil,yaw1_rango_intercuartil,roll1_rango_intercuartil,pitch2_rango_intercuartil,yaw2_rango_intercuartil,roll2_rango_intercuartil,f1_rango_intercuartil,f2_rango_intercuartil,f3_rango_intercuartil,f4_rango_intercuartil,f5_rango_intercuartil,pitch3_rango_intercuartil,pitch1_rms,yaw1_rms,roll1_rms,pitch2_rms,yaw2_rms,roll2_rms,f1_rms,f2_rms,f3_rms,f4_rms,f5_rms,pitch3_rms,actividad
3.894258652921549e-14,2.9200884134959115e-14,5.613287612504792e-14,-5.938683888085837e-14,-7.119557468823504e-15,-5.781234077320815e-15,-7.161544085027509e-14,2.3237977199063277e-14,-2.391218536310837e-14,-2.2095456777358117e-14,4.416669050690623e-14,5.666578317686799e-14,5.434595568181823,-11.81488022727273,-26.25950340909091,9.73454215909091,-5.989312727272727,20.966627045454544,9.619318181818178,6.746590909090907,9.579545454545451,9.135227272727269,7.762499999999999,43.62494466786254,25.636276551674754,28.505369696913213,45.090874471406586,20.52832574046697,22.664093454084867,45.571210911831045,10.853077254804791,8.119339270918536,10.895175736941725,11.293187203844301,8.887657587146503,76.78507784382201,-27.08520443181818,-57.713980227272735,-78.7653034090909,-50.7982078409091,-102.50401272727274,-122.60397295454547,-12.380681818181818,-9.253409090909091,-12.420454545454545,-12.864772727272728,-10.137500000000003,-132.33669675255967,46.45689556818182,104.78231977272728,133.8654965909091,28.53789215909091,76.73558727272726,121.40312704545455,9.71931818181818,8.246590909090912,13.579545454545459,14.835227272727275,8.662499999999998,209.87323258743214,73.5421,162.49630000000002,212.6308,79.33610000000002,179.2396,244.00710000000004,22.099999999999998,17.500000000000004,26.000000000000004,27.700000000000003,18.8,342.20992933999185,-27.08520443181818,-11.81488022727273,-26.25950340909091,-17.64643284090909,-5.989312727272727,-24.997772954545454,-12.380681818181818,-9.253409090909091,-12.420454545454545,-12.864772727272728,-10.137500000000003,-65.90868618233596,21.589420568181822,3.430969772727271,20.52544659090909,17.09669215909091,4.7709872727272735,20.966627045454544,9.619318181818178,7.246590909090905,9.579545454545451,9.935227272727277,7.862500000000001,43.62494466786254,48.674625000000006,15.24585,46.78495,34.743125,10.7603,45.9644,21.999999999999996,16.499999999999996,21.999999999999996,22.800000000000004,18.000000000000004,109.5336308501985,25.636276551674776,28.505369696913224,45.090874471406586,20.528325740466986,22.664093454084867,45.571210911831045,10.853077254804802,8.11933927091855,10.895175736941722,11.293187203844283,8.887657587146522,76.78507784382198,015
8.37148532313718e-14,-2.750829866923513e-15,9.164386421451292e-16,2.8166783930502507e-16,-2.8260222445003984e-16,-3.162621679693571e-15,2.0670334131202913e-15,2.5837917664003644e-15,2.826022244500398e-17,-2.099330810200296e-15,4.630639306345653e-15,2.034736016040287e-15,9.799127272727276,1.2108462500000001,9.31961806818182,-0.0017013636363636276,-2.409055113636363,-1.4498736363636366,-0.0960227272727181,0.35568181818182154,1.5448863636363654,0.049431818181815856,0.7863636363636388,-1.705729863789851,31.542357543353955,26.16616811949641,28.367894809442646,2.236311243192652,6.5632392218521325,3.330574132626194,1.5226532164827622,2.892382548670083,3.091917062835027,0.6793878560789721,1.8254813697775698,6.2905548971840375,-50.16937272727273,-93.45795375,-103.24398193181818,-4.402701363636363,-14.588005113636363,-6.335223636363637,-16.596022727272725,-14.944318181818183,-16.455113636363635,-10.95056818181818,-15.713636363636361,-10.245665800214772,33.31402727272727,73.93724625,51.379918068181816,7.2021986363636366,14.59249488636364,7.970676363636366,2.9039772727272677,16.65568181818182,3.5448863636363654,0.2494318181818187,2.786363636363639,10.830013735877436,83.4834,167.3952,154.6239,11.6049,29.180500000000002,14.305900000000003,19.499999999999993,31.6,20.0,11.2,18.5,21.07567953609221,-50.16937272727273,-3.35670375,-6.683731931818181,-1.665751363636364,-5.0643051136363635,-1.9713236363636366,-1.0960227272727252,-1.1443181818181785,-2.6551136363636303,0.049431818181815856,-1.2136363636363612,-5.882162471947205,26.818727272727273,14.860846249999998,14.49631806818182,1.4159986363636365,5.183394886363638,2.471826363636364,0.9039772727272748,1.0556818181818244,2.5448863636363726,0.049431818181815856,1.1863636363636445,5.7881283781749895,76.9881,18.21755,21.18005,3.0817500000000004,10.247700000000002,4.443150000000001,2.0,2.200000000000003,5.200000000000003,0.0,2.4000000000000057,11.670290850122194,31.54235754335399,26.16616811949641,28.367894809442646,2.2363112431926515,6.5632392218521325,3.3305741326261944,1.5226532164827624,2.8923825486700827,3.091917062835027,0.6793878560789722,1.8254813697775696,6.290554897184037,013
-7.137724754681007e-15,-1.1061858499901559e-15,1.3726393759001935e-15,-6.994001337674987e-14,-4.1411318818518336e-15,-1.6054077259494451e-16,2.5514943693203596e-15,-5.404161966411762e-14,-9.923375252831398e-15,1.0372309072243462e-13,5.058579817655713e-14,3.094090640264436e-14,2.6254037500000003,2.86480375,1.426145,12.540071022727272,2.635558522727273,-0.13710454545454545,5.615909090909092,9.64318181818182,7.819318181818183,11.708977272727282,8.059090909090909,15.447265096575158,9.47711344584865,11.293599746842544,8.14578404388361,28.892157004794466,18.661321503402046,6.579758059768808,10.179217758430843,17.248775947707507,13.93892243417803,21.756951843019813,14.307252105485462,46.37525714970469,-13.80234625,-19.940596250000002,-20.584455,-44.06062897727272,-58.14244147727273,-25.23300454545454,-18.384090909090908,-31.156818181818185,-25.180681818181817,-39.291022727272725,-25.84090909090909,-81.17433212200393,15.560453750000004,30.784303750000003,18.295544999999997,27.868971022727273,40.62455852272727,13.405595454545452,6.615909090909092,10.843181818181822,8.819318181818176,14.608977272727266,9.359090909090913,50.59278272879757,29.362800000000004,50.724900000000005,38.879999999999995,71.9296,98.767,38.6386,25.0,42.00000000000001,33.99999999999999,53.89999999999999,35.2,131.7671148508015,-13.80234625,-9.816196249999999,-2.9352550000000006,-44.06062897727272,-7.935766477272729,-1.4011045454545454,5.615909090909092,8.843181818181815,7.719318181818181,11.708977272727282,7.15909090909091,5.944330345984103,7.46575375,3.3781537500000005,3.6198200000000003,23.91872102272729,5.603358522727273,3.859370454545454,5.615909090909092,9.843181818181822,7.819318181818183,12.508977272727286,8.159090909090903,33.98044441677428,21.2681,13.19435,6.555075,67.97935000000001,13.539125000000002,5.260475,0.0,1.000000000000007,0.10000000000000142,0.8000000000000043,0.9999999999999929,28.03611407079018,9.477113445848646,11.293599746842546,8.14578404388361,28.892157004794434,18.66132150340205,6.579758059768808,10.179217758430845,17.248775947707625,13.938922434178028,21.756951843019774,14.307252105485428,46.37525714970469,006
4.521635591200637e-16,1.873249030640264e-15,-2.4223047810003414e-16,-8.276208001751166e-16,4.809284283944428e-16,-1.6148698540002277e-16,-1.0819628021801526e-15,-2.6423307986078726e-15,8.780854831126238e-15,-1.3302490422326876e-15,1.7137806325577416e-15,-3.738423712010527e-15,1.4550104545454543,-11.995545795454545,9.780271477272727,1.2185588636363711,-0.2893468181818175,0.7284273863636357,-1.248295454545456,-1.6548863636363649,-2.5860227272727236,-1.8173863636363627,-1.0255681818181799,-6.656779925046809,32.06113427800164,31.740780802213497,20.78711753558079,10.570078244756989,7.53282493015275,8.97920000720984,4.048753658279777,3.20013476076975,13.607738359926314,3.930565537124679,1.8183267520358986,78.18579776573692,-49.907339545454555,-41.642145795454546,-44.91447852272728,-26.41099113636364,-13.841546818181817,-19.902222613636365,-12.748295454545456,-14.054886363636367,-25.18602272727272,-10.517386363636362,-12.625568181818181,-142.83939402402385,44.56626045454545,71.81795420454546,28.03032147727273,14.193008863636365,19.13575318181818,17.423577386363636,9.651704545454542,8.945113636363633,19.913977272727294,8.382613636363633,5.174431818181816,120.05942548277882,94.4736,113.46010000000001,72.94480000000001,40.604000000000006,32.9773,37.3258,22.4,23.0,45.100000000000016,18.899999999999995,17.799999999999997,262.8988195068027,-34.323814545454546,-27.167645795454547,-18.69930352272727,-8.074391136363639,-5.334096818181816,-6.259847613636365,-3.4482954545454554,-2.5548863636363635,-13.886022727272724,-3.517386363636362,-1.1255681818181777,-78.87567493065774,32.92843545454546,30.22402920454546,15.436196477272729,9.839183863636359,6.017928181818182,6.633552386363636,4.151704545454546,2.7451136363636346,15.11397727272728,3.9076136363636422,1.0744318181818153,86.08030668199412,67.25225,57.391675000000006,34.1355,17.913574999999998,11.352024999999998,12.893400000000002,7.600000000000001,5.299999999999998,29.000000000000004,7.425000000000004,2.199999999999993,164.95598161265184,32.06113427800164,31.740780802213497,20.78711753558079,10.570078244756989,7.53282493015275,8.97920000720984,4.048753658279778,3.200134760769749,13.607738359926305,3.930565537124679,1.8183267520358988,78.18579776573692,001
1.0076787888961421e-14,9.842631760131388e-15,-1.7844311886702518e-15,-1.9830601807122797e-14,2.071070587755292e-15,3.835315903250541e-16,-1.176432688639166e-14,-1.0504728400271482e-14,1.7206438294372425e-14,-1.2038854761571698e-14,-2.3956594284093378e-14,-1.5220148373952146e-15,3.5244054545454526,-14.305439090909093,4.112695227272729,4.69405988636364,4.375076363636365,2.693892840909091,3.522613636363632,2.5238636363636395,4.93,2.8249999999999975,3.878409090909095,-17.29464575344293,12.621843203600111,25.00888105683417,31.9215412984429,20.26120125083182,12.803126147781633,10.96066872928313,8.56830111970837,10.686950350758968,14.72804020166356,9.363874610826048,9.124961380536416,89.14084195918585,-22.72909454545455,-22.786689090909093,-57.157204772727255,-39.061390113636364,-27.864123636363637,-27.406257159090906,-17.827386363636368,-21.676136363636363,-29.869999999999997,-18.675,-19.12159090909091,-160.69337680319538,15.624005454545454,57.22271090909091,51.62709522727273,24.326509886363645,25.336876363636364,22.223442840909094,8.772613636363637,12.32386363636363,18.330000000000005,12.325000000000006,10.678409090909089,161.40745280108982,38.353100000000005,80.0094,108.78429999999999,63.38790000000001,53.201,49.6297,26.600000000000005,33.99999999999999,48.2,31.000000000000007,29.799999999999997,322.1008296042852,-14.05781954545455,-19.882689090909093,-31.255654772727276,0.3661348863636338,-12.018598636363638,-8.43750715909091,2.172613636363632,1.2238636363636388,1.0300000000000082,0.22500000000000053,3.778409090909097,-72.83803385011772,11.037055454545452,19.370260909090916,30.78769522727273,15.900734886363642,9.657076363636365,8.074242840909092,4.8726136363636385,7.323863636363637,9.055000000000007,5.550000000000004,3.9784090909090963,59.39919287158844,25.094875000000002,39.25295000000001,62.043350000000004,15.534600000000008,21.675675000000005,16.51175,2.7000000000000064,6.099999999999998,8.024999999999999,5.325000000000004,0.1999999999999993,132.23722672170618,12.621843203600108,25.008881056834166,31.9215412984429,20.261201250831814,12.803126147781635,10.96066872928313,8.568301119708359,10.686950350758964,14.728040201663568,9.363874610826052,9.124961380536389,89.14084195918585,003
-9.164386421451292e-16,-3.552713678800501e-16,9.301650359041311e-15,-5.409814010900763e-16,-5.39366531236076e-15,4.388408828245618e-15,9.2249440409763e-16,-3.165144913840446e-15,-1.8126914111152557e-15,-6.943940372200979e-16,-1.1102230246251565e-15,-1.0012193094801411e-15,-3.790897727272729,-1.5589918181818194,-12.882888295454546,-7.024790681818186,-8.937593522727274,-2.375917159090909,-0.17454545454545212,-3.2121590909090934,-3.2113636363636395,0.9432954545454528,-0.2614772727272765,47.84680696937814,23.545774038578347,11.224980085337723,43.92288961275525,19.427257757962135,21.100985701433633,17.683609042278345,0.8909837631044192,11.484890266312329,8.175148480972698,10.733065437489598,3.615494446184725,102.95764034019066,-26.440847727272725,-24.131941818181815,-70.62818829545455,-28.590790681818184,-26.163993522727274,-28.440217159090906,-11.474545454545456,-25.512159090909094,-20.061363636363637,-29.506704545454546,-14.361477272727274,-213.27326506244083,60.55715227272728,28.736658181818186,100.33241170454545,38.69470931818182,53.21390647727273,49.5825828409091,1.9254545454545422,16.087840909090907,12.338636363636368,13.893295454545452,11.538522727272735,137.02625538700303,86.998,52.8686,170.9606,67.28550000000001,79.37790000000001,78.0228,13.399999999999999,41.6,32.400000000000006,43.4,25.90000000000001,350.2995204494439,-18.77852272727273,-8.43559181818182,-28.152338295454545,-13.538065681818184,-13.601418522727275,-13.18924215909091,-0.27454545454545354,-10.512159090909089,-6.961363636363638,-8.53170454545455,-2.4614772727272767,-16.387634682187226,8.10020227272727,8.516458181818182,28.477661704545458,12.786334318181813,9.278856477272729,10.214682840909088,0.1254545454545486,11.587840909090902,8.338636363636368,10.49329545454546,2.7385227272727235,72.25394960525848,26.878725,16.95205,56.63,26.324399999999997,22.880275000000005,23.403924999999997,0.40000000000000213,22.09999999999999,15.300000000000006,19.025000000000013,5.2,88.64158428744571,23.545774038578347,11.224980085337723,43.92288961275524,19.427257757962135,21.100985701433633,17.68360904227835,0.8909837631044191,11.484890266312325,8.175148480972696,10.733065437489598,3.6154944461847256,102.95764034019066,003
-1.816728585750256e-15,-2.1306189136215505e-15,3.625382822230511e-15,-9.124014675101287e-16,1.9454135272408994e-15,-2.7816133235153922e-15,-4.4731894955806305e-15,-3.4659144241479887e-15,-3.4659144241479887e-15,-9.446988645901333e-16,-3.4659144241479887e-15,1.6085617686330394e-17,0.6475845454545421,-1.9487914772727275,-4.039233295454546,-2.0838227272727283,-1.6138042045454544,-5.903497386363636,0.09090909090908639,0.06249999999999645,0.06249999999999645,0.0948863636363626,0.06249999999999645,0.006406709891008444,15.292185474047534,21.18516416118048,44.13821031430049,10.130475475215269,15.298575594966458,38.71008970471282,0.9903668241015722,0.6808771915698156,0.6808771915698156,0.9007364339530215,0.6808771915698156,0.027556698697305468,-23.22906545454546,-42.31359147727273,-90.28213329545454,-24.95232272727273,-35.14930420454546,-76.88279738636365,-15.90909090909091,-10.9375,-10.9375,-14.405113636363636,-10.9375,-0.313303739791991,30.933334545454546,48.73700852272728,106.95636670454546,29.481877272727274,34.80399579545455,98.37910261363638,0.09090909090908639,0.06249999999999645,0.06249999999999645,0.0948863636363626,0.06249999999999645,0.0390653042134651,54.162400000000005,91.0506,197.2385,54.434200000000004,69.95330000000001,175.26190000000003,15.999999999999996,10.999999999999996,10.999999999999996,14.499999999999998,10.999999999999996,0.3523690440054561,-14.815965454545458,-14.976266477272729,-29.99345829545455,-6.817272727272727,-10.387254204545455,-26.790322386363638,0.09090909090908639,0.06249999999999645,0.06249999999999645,0.0948863636363626,0.06249999999999645,-0.015938644119093848,13.103834545454543,16.83560852272727,26.02996670454545,5.200977272727273,9.504595795454547,23.93707761363637,0.09090909090908639,0.06249999999999645,0.06249999999999645,0.0948863636363626,0.06249999999999645,0.016290231857014947,27.919800000000002,31.811875,56.023425,12.01825,19.89185,50.7274,0.0,0.0,0.0,0.0,0.0,0.032228875976108795,15.292185474047534,21.18516416118048,44.138210314300494,10.130475475215269,15.298575594966456,38.71008970471282,0.9903668241015727,0.680877191569816,0.680877191569816,0.9007364339530217,0.680877191569816,0.027556698697305478,015
-2.204297350710311e-15,-2.9552118328204166e-15,-2.9713605313604188e-15,8.377137367626182e-16,-4.753773132713171e-16,-7.73118942602609e-16,-1.752133791590247e-15,1.0940743260851544e-15,-2.2931151926803235e-15,-1.6108326793652272e-15,-3.312501788017967e-15,-1.5946839808252248e-16,1.5554973863636334,-14.723514772727276,-15.140582840909094,-0.23724363636363544,-0.20644352272727307,0.016548977272726972,0.033522727272725206,0.0613636363636374,0.012159090909090509,0.054659090909090935,0.05454545454545112,-0.02743295879549912,7.838242026223247,36.741996892981035,39.01687069557901,2.272353435988869,2.8178300123283693,4.34159761215022,0.6984569677847777,0.5250826381242321,0.7149697210111795,0.7031753448459177,0.682143861611221,0.30906416674225107,-34.89225261363637,-44.91746477272728,-45.92658284090909,-4.352393636363636,-5.225593522727274,-11.814801022727274,-11.166477272727278,-8.138636363636362,-11.287840909090912,-11.04534090909091,-10.945454545454545,-0.054361975166649756,11.900147386363642,86.66903522727273,92.28481715909092,5.090006363636364,6.869706477272727,6.6812989772727285,0.3335227272727259,0.3613636363636381,0.41215909090909264,0.5546590909090945,0.15454545454545254,4.965894225769622,46.792400000000015,131.5865,138.21140000000003,9.4424,12.095300000000002,18.496100000000002,11.500000000000004,8.5,11.700000000000005,11.600000000000005,11.099999999999998,5.020256200936272,-7.218602613636362,-31.080264772727276,-33.2129328409091,-2.0132436363636352,-2.3278435227272736,-2.541851022727273,-0.06647727272727266,-0.038636363636364024,0.012159090909086956,-0.045340909090910486,0.05454545454545112,-0.038462396351783834,6.9945473863636245,29.54521022727273,31.389067159090917,1.835306363636365,2.0444064772727266,3.6115489772727267,0.13352272727272663,0.16136363636363527,0.11215909090909193,0.1546590909090888,0.05454545454545112,-0.018265634073401316,14.213149999999986,60.62547500000001,64.60200000000002,3.8485500000000004,4.37225,6.1533999999999995,0.1999999999999993,0.1999999999999993,0.10000000000000497,0.1999999999999993,0.0,0.02019676227838252,7.838242026223247,36.741996892981035,39.016870695579016,2.272353435988869,2.8178300123283693,4.34159761215022,0.6984569677847778,0.525082638124232,0.7149697210111823,0.7031753448459178,0.6821438616112213,0.30906416674225107,013
-2.496588794284352e-14,-1.0690438433481508e-14,-2.0799523719522933e-14,1.937843824800273e-14,3.001639341122923e-15,2.5434200200503587e-16,-2.7404341422383865e-14,-2.5191969722403553e-15,4.332695818282611e-14,-1.1094155896981564e-14,-1.1220115745593582e-13,5.155472008895727e-15,3.697862613636362,4.993839999999999,-17.013262727272732,12.503593295454557,2.7469057954545453,-9.47480159090909,9.676136363636367,4.3749999999999964,14.004204545454535,7.69431818181819,14.098863636363632,2.0263661611827093,9.39125454148639,14.829123433876521,28.682476468855736,26.873647719481628,6.601456257090113,16.050608421787718,20.874059555942704,8.911935944155331,29.394763263578124,16.5050781300962,29.104958552539497,9.574863439788887,-13.529387386363638,-30.928309999999996,-49.74956272727273,-39.501006704545446,-15.505994204545448,-32.50620159090909,-43.32386363636363,-18.525000000000006,-61.09579545454546,-34.30568181818182,-60.50113636363636,-14.604020321387,15.530412613636361,18.50499,58.13623727272727,26.135093295454553,14.375305795454548,31.756198409090914,16.676136363636367,4.474999999999998,15.904204545454554,9.49431818181818,15.498863636363637,19.9017899325717,29.0598,49.433299999999996,107.8858,65.6361,29.881299999999996,64.26240000000001,60.0,23.000000000000004,77.00000000000001,43.8,76.0,34.5058102539587,-13.529387386363638,-14.875285000000002,-19.79016272727273,-39.501006704545446,-4.840169204545454,-10.15440159090909,8.176136363636374,4.274999999999995,13.90420454545454,7.69431818181819,13.498863636363637,-8.566191076298384,6.655812613636364,14.17859,22.396562272727273,21.74786829545456,4.4993057954545455,14.261048409090911,10.67613636363636,4.375,14.90420454545454,8.319318181818186,14.498863636363637,7.438955212334813,20.185200000000002,29.053875,42.186725,61.248875000000005,9.339475,24.41545,2.499999999999986,0.10000000000000497,1.0,0.6249999999999964,1.0,16.0051462886332,9.391254541486383,14.829123433876525,28.682476468855732,26.873647719481635,6.6014562570901125,16.050608421787718,20.874059555942694,8.911935944155331,29.39476326357805,16.505078130096198,29.10495855253954,9.574863439788889,006
3.886285233017423e-15,-1.9747839727105285e-14,-3.915251961023552e-14,-3.0960871492831514e-17,-2.454633718507182e-17,2.0768740262931054e-15,-6.587054134466928e-14,7.8010325472116e-14,1.368602201265193e-15,4.695637817969162e-14,3.47197018610049e-14,9.206373037655298e-14,1.1020232954545455,-4.755117045454546,16.355168181818183,0.008766022727272718,-0.022830454545454536,0.8157751136363637,7.971590909090908,10.568181818181815,10.55113636363636,9.540909090909091,10.471590909090903,-13.145131093153973,4.760068263184185,7.266580105020964,43.92284390946023,0.9990784456950205,0.6842774726970745,3.209864105404537,8.443335845285446,10.933147528321033,10.9496190709808,10.005270615163091,11.026671681794985,51.75495012320872,-9.434776704545454,-10.619517045454547,-115.00473181818182,-2.8898339772727275,-2.819530454545454,-13.787624886363638,-8.82840909090909,-11.431818181818182,-11.448863636363637,-10.459090909090909,-11.528409090909093,-41.911050155492084,12.338923295454544,18.603482954545456,66.45416818181818,2.3124660227272726,2.346069545454546,4.457175113636364,8.47159090909091,10.668181818181816,10.851136363636364,10.540909090909095,10.971590909090907,108.46745275454384,21.773699999999998,29.223000000000003,181.4589,5.2023,5.1655999999999995,18.2448,17.3,22.099999999999998,22.3,21.000000000000004,22.5,150.37850291003593,-3.9990267045454555,-4.755117045454546,-11.279306818181816,0.008766022727272718,-0.0808304545454546,0.3671751136363639,-8.82840909090909,-11.431818181818182,-11.448863636363637,-10.459090909090909,-11.528409090909093,-41.911050155492084,1.1020232954545455,4.429357954545454,16.355168181818183,0.3618660227272728,0.06764454545454546,1.1136001136363636,8.171590909090906,10.568181818181815,10.55113636363636,9.540909090909091,10.671590909090906,17.425318544948645,5.101050000000001,9.184474999999999,27.634475,0.3531000000000001,0.14847500000000005,0.7464249999999997,16.999999999999996,21.999999999999996,21.999999999999996,20.0,22.2,59.33636870044073,4.760068263184185,7.266580105020958,43.92284390946023,0.9990784456950205,0.6842774726970745,3.2098641054045367,8.443335845285434,10.933147528321053,10.9496190709808,10.005270615162939,11.026671681795015,51.754950123208765,007
